"sno","github_url","repo_name","feature_count","skip_reason","skip_details"
"124","https://github.com/wswebcreation/multiple-cucumber-html-reporter","","3","LOW_FEATURE_COUNT","Feature count 3 < 10"
"125","https://github.com/wswebcreation/protractor-cucumber-typescript-boilerplate","","3","LOW_FEATURE_COUNT","Feature count 3 < 10"
"126","https://github.com/kiwigrid/gherkin-testcafe","","3","LOW_FEATURE_COUNT","Feature count 3 < 10"
"127","https://github.com/malukenho/kawaii-gherkin","","3","LOW_FEATURE_COUNT","Feature count 3 < 10"
"128","https://github.com/predixdev/predix-bdd-cucumber","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"129","https://github.com/ashenwgt/awesome-bdd-with-cucumber","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"130","https://github.com/jerseysu/flutter_bdd","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"131","https://github.com/marcglasberg/bdd_framework","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"132","https://github.com/omprakashchavan01/appium-cucumberbdd","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"133","https://github.com/omprakashchavan01/appium-cucumberbdd-testng","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"134","https://github.com/rajatt95/masterappiumframework_bdd","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"135","https://github.com/rajatt95/masterseleniumframework_bdd","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"136","https://github.com/salesforce/codeceptjs-bdd","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"137","https://github.com/shankybnl/selenium_bdd_framework","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"138","https://github.com/luciemars/cucumber-java-selenium-webdriver-example","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"139","https://github.com/PrinceSoni83/playwright-cucumber-js-e2e-boilerplate","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"140","https://github.com/browserstack/cucumber-js-browserstack","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"141","https://github.com/john-doherty/selenium-cucumber-js","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"142","https://github.com/sahajamit/cucumber-jvm-testng-integration","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"143","https://github.com/cucumber/cucumber.ml","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"144","https://github.com/cucumber/language-server","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"145","https://github.com/deblockt/cucumber-report-annotations-action","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"146","https://github.com/estefafdez/selenium-cucumber","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"147","https://github.com/ghoshasish99/Playwright-Java-Cucumber","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"148","https://github.com/gkushang/cucumber-parallel","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"149","https://github.com/helen-dikareva/testcafe-cucumber-demo","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"150","https://github.com/joanesquivel/cypress-cucumber-boilerplate","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"151","https://github.com/lambdatest/nodejs-cucumber-selenium","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"152","https://github.com/marketionist/protractor-cucumber-steps","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"153","https://github.com/mechero/spring-boot-cucumber","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"154","https://github.com/rquellh/testcafe-cucumber","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"155","https://github.com/warleygabriel/demo-webdriverio-cucumber","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"156","https://github.com/wswebcreation/protractor-multiple-cucumber-html-reporter-plugin","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"157","https://github.com/fal-ai/dbt_feature_store","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"158","https://github.com/alexandrosd/gherkindoc","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"159","https://github.com/gherking/gherking","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"160","https://github.com/jithin-zac/gherkin-parse","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
"161","https://github.com/niitch/gherkin-wrapper","","2","LOW_FEATURE_COUNT","Feature count 2 < 10"
